Name,Speed,Control,Stiffness,Overall,Price,Ratings
(No Brand) 2 Faced Grinder,,,,,,0
(No Brand) Agilite Balsa Texalium Blade,,,,,$52,0
(No Brand) ALPEN WOOD BLADE (Dingo + Swiss),4.0,3.0,10.0,1.0,$94,1
(No Brand) ARTTE Nuvola,6.5,9.5,5.0,9.8,$120,1
(No Brand) Balistic Glasfibre,,,,,,0
(No Brand) Borneo Beast Diamond Carbon Signanture Series,10.0,10.0,10.0,10.0,$1000,1
(No Brand) Brodmann Blades,,,,,$69,0
(No Brand) D.Tector,5.0,9.0,3.0,,$45,1
(No Brand) Denis Kalachevskyy,9.0,6.0,5.0,9.0,$65,1
(No Brand) Dimanka Hurricane 5,10.0,8.8,7.0,9.9,$80,1
(No Brand) Double Day M.I.T. Japan Kiso Hinoki Pen Holder RS 10mm Speci,9.5,8.9,5.0,9.3,$76,1
(No Brand) Gauder Concept For Allround,7.0,9.0,5.0,9.0,$33,1
(No Brand) Gold Cup,9.0,9.0,5.0,9.0,$5,1
(No Brand) GuoYueHua Low Carbon Life,,,,,$13,0
(No Brand) Hermoso,,,,,,0
(No Brand) Jaguar,,,,,$20,0
(No Brand) KOSAKA,,,,,$8,0
(No Brand) Kosaka Carbon,7.0,8.0,5.0,7.4,$13,2
(No Brand) KWS,,,,,$54,0
(No Brand) L-2,,,,,,0
(No Brand) Leoviz Liberty,8.3,9.0,5.0,8.8,$32,2
(No Brand) Levi OFF-,8.0,9.2,0.0,8.8,$40,1
(No Brand) Maestro-Lithuania,9.0,9.0,7.0,9.5,$25,1
(No Brand) Matsushita Pro Model,,,,,,0
(No Brand) N8 TT Dragon L1,8.0,9.0,7.0,8.0,$50,1
(No Brand) Nimatsu,7.8,10.0,5.0,,,1
(No Brand) Orina Gagak 01,9.0,8.5,5.0,8.9,$20,1
(No Brand) Palatinus Custom,,,,,$120,0
(No Brand) Power Kevlar Carbon,9.3,7.0,7.5,9.3,$50,2
(No Brand) Radius Carbon,,,,,$32,0
(No Brand) Rapscallion (Ross Leidy),9.8,9.0,3.0,10.0,$140,2
(No Brand) Razer L-2,8.3,8.4,6.0,8.4,$15,2
(No Brand) Razer L9,,,,,$45,0
(No Brand) Reach C-1 (Carbon),,,,,$10,0
(No Brand) REACH E-5,8.0,7.0,3.0,,$45,1
(No Brand) Rosen,10.0,8.0,7.0,9.8,$70,1
(No Brand) Ross Leidy Custom,10.0,10.0,5.0,10.0,,1
(No Brand) Sangata,,,,,$10,0
(No Brand) Siam Pingpong Handmade,8.5,9.5,5.0,9.0,,1
(No Brand) Surbex Scorpion Tamca,9.0,9.0,10.0,10.0,$27,1
(No Brand) Surbex Super ZL Carbon,9.4,9.0,5.0,9.2,$70,1
(No Brand) Sypachevskii,7.0,8.0,7.0,9.0,$65,1
(No Brand) TImo Boll ZLC,,,,,,0
(No Brand) Uberpong Blade,5.5,5.0,4.0,3.5,$30,2
(No Brand) Victas Quartet Speed,,,,,$150,0
(No Brand) Vodak Diolen Special Custom,8.5,9.0,7.0,,$135,1
(No Brand) Waldner,,,,,,0
(No Brand) XXX Black Mix,8.5,8.0,5.0,8.0,$43,2
.TCORE T540,,,,,$56,0
.TCORE T560,,,,,$56,0
Adidas Accelum High Speed Carbon,7.0,7.0,10.0,,$129,1
Adidas Avenger 5,8.5,8.5,5.0,9.0,$75,1
Adidas Avenger 7,9.3,7.9,6.5,9.3,$79,6
Adidas Avenger Carbon,9.0,9.0,5.0,9.3,$99,3
Adidas C100 OFF,7.6,8.5,2.8,8.5,$60,7
Adidas C300 OFF,7.8,7.9,4.7,8.5,$100,6
Adidas C500 OFF+,9.2,8.8,6.4,8.9,$100,14
Adidas Challenge Force,8.7,9.5,3.8,9.4,$69,7
Adidas Challenge Light,,,,,$39,0
Adidas Challenge Speed,9.0,8.7,6.5,9.1,$49,19
Adidas FiberTec Classic,8.5,9.2,3.5,9.2,$68,9
Adidas FiberTec Extreme,9.6,8.4,6.4,9.4,$159,9
Adidas FiberTec Power,9.5,9.2,7.2,9.3,$199,6
Adidas Hypertouch,9.0,8.9,5.0,9.2,$180,8
Adidas Protex D20,,,,,$110,0
Adidas Protex D30,,,,,$150,0
Adidas Radix Express,9.5,9.5,5.0,9.3,$180,7
Adidas Radix Impress,8.5,9.0,7.0,9.3,$199,1
Adidas Radix Ultimate,9.6,9.4,5.0,9.9,$137,4
Adidas Strike Carbon,9.5,8.7,5.7,9.1,$120,7
Adidas Strike Wood 5,7.9,9.5,5.0,9.5,$48,1
